# Timestamp tx ty tz qx qy qz qw
0 0.786659 2.176693 1.061935 -0.008877 0.022389 0.113279 0.993271
1 0.786648 2.174593 1.061504 -0.009581 0.022923 0.113609 0.993215
2 0.786637 2.172493 1.061075 -0.010286 0.023458 0.113938 0.993158
3 0.786628 2.170393 1.060650 -0.010990 0.023992 0.114267 0.993100
4 0.786619 2.168292 1.060229 -0.011695 0.024527 0.114596 0.993041
5 0.786612 2.166190 1.059810 -0.012399 0.025061 0.114925 0.992981
6 0.786605 2.164087 1.059394 -0.013103 0.025595 0.115254 0.992920
7 0.786600 2.161984 1.058982 -0.013808 0.026130 0.115582 0.992858
8 0.786596 2.159880 1.058573 -0.014512 0.026664 0.115911 0.992796
9 0.786593 2.157776 1.058167 -0.015217 0.027198 0.116240 0.992732
10 0.786591 2.155671 1.057764 -0.015921 0.027732 0.116568 0.992668
11 0.786590 2.153565 1.057365 -0.016625 0.028267 0.116896 0.992603
12 0.786590 2.151459 1.056968 -0.017330 0.028801 0.117224 0.992536
13 0.786591 2.149352 1.056575 -0.018034 0.029335 0.117553 0.992469
14 0.786594 2.147245 1.056185 -0.018738 0.029869 0.117881 0.992402
15 0.786597 2.145137 1.055798 -0.019443 0.030403 0.118208 0.992333
16 0.786602 2.143028 1.055415 -0.020147 0.030938 0.118536 0.992263
17 0.786607 2.140919 1.055034 -0.020851 0.031472 0.118864 0.992193
18 0.786614 2.138809 1.054657 -0.021556 0.032006 0.119191 0.992121
19 0.786622 2.136699 1.054282 -0.022260 0.032540 0.119519 0.992049
20 0.786631 2.134588 1.053911 -0.022964 0.033074 0.119846 0.991976
21 0.786641 2.132477 1.053544 -0.023668 0.033608 0.120173 0.991902
22 0.786652 2.130365 1.053179 -0.024372 0.034142 0.120501 0.991827
23 0.786665 2.128253 1.052817 -0.025077 0.034676 0.120828 0.991751
24 0.786678 2.126140 1.052459 -0.025781 0.035209 0.121154 0.991674
25 0.786693 2.124026 1.052104 -0.026485 0.035743 0.121481 0.991596
26 0.786708 2.121912 1.051752 -0.027189 0.036277 0.121808 0.991518
27 0.786725 2.119797 1.051403 -0.027893 0.036811 0.122135 0.991438
28 0.786743 2.117682 1.051057 -0.028597 0.037345 0.122461 0.991358
29 0.786762 2.115567 1.050715 -0.029301 0.037878 0.122787 0.991277
30 0.786783 2.113451 1.050376 -0.030005 0.038412 0.123114 0.991195
31 0.786804 2.111334 1.050039 -0.030709 0.038946 0.123440 0.991112
32 0.786827 2.109217 1.049706 -0.031413 0.039479 0.123766 0.991028
33 0.786851 2.107100 1.049377 -0.032117 0.040013 0.124092 0.990943
34 0.786875 2.104981 1.049050 -0.032821 0.040546 0.124418 0.990858
35 0.786902 2.102863 1.048727 -0.033524 0.041080 0.124743 0.990771
36 0.786929 2.100744 1.048406 -0.034228 0.041613 0.125069 0.990684
37 0.786957 2.098624 1.048089 -0.034932 0.042147 0.125394 0.990596
38 0.786987 2.096505 1.047775 -0.035636 0.042680 0.125720 0.990506
39 0.787018 2.094384 1.047464 -0.036339 0.043214 0.126045 0.990416
40 0.787050 2.092264 1.047157 -0.037043 0.043747 0.126370 0.990326
41 0.787083 2.090142 1.046852 -0.037747 0.044280 0.126695 0.990234
42 0.787117 2.088021 1.046551 -0.038450 0.044813 0.127020 0.990141
43 0.787153 2.085899 1.046253 -0.039154 0.045347 0.127345 0.990047
44 0.787189 2.083776 1.045958 -0.039858 0.045880 0.127670 0.989953
45 0.787227 2.081653 1.045666 -0.040561 0.046413 0.127994 0.989858
46 0.787266 2.079530 1.045377 -0.041265 0.046946 0.128319 0.989761
47 0.787307 2.077406 1.045092 -0.041968 0.047479 0.128643 0.989664
48 0.787348 2.075282 1.044810 -0.042671 0.048012 0.128967 0.989566
49 0.787391 2.073158 1.044531 -0.043375 0.048545 0.129291 0.989467
50 0.787435 2.071033 1.044255 -0.044078 0.049078 0.129615 0.989368
51 0.787480 2.068907 1.043982 -0.044781 0.049611 0.129939 0.989267
52 0.787526 2.066782 1.043712 -0.045485 0.050144 0.130263 0.989165
53 0.787574 2.064656 1.043445 -0.046188 0.050676 0.130587 0.989063
54 0.787623 2.062529 1.043182 -0.046891 0.051209 0.130910 0.988960
55 0.787673 2.060403 1.042922 -0.047594 0.051742 0.131234 0.988856
56 0.787724 2.058275 1.042665 -0.048297 0.052274 0.131557 0.988750
57 0.787776 2.056148 1.042411 -0.049000 0.052807 0.131880 0.988645
58 0.787830 2.054020 1.042160 -0.049703 0.053339 0.132203 0.988538
59 0.787885 2.051892 1.041913 -0.050406 0.053872 0.132526 0.988430
60 0.787941 2.049764 1.041668 -0.051109 0.054404 0.132849 0.988321
61 0.787999 2.047635 1.041427 -0.051812 0.054937 0.133172 0.988212
62 0.788058 2.045506 1.041189 -0.052515 0.055469 0.133494 0.988102
63 0.788117 2.043376 1.040954 -0.053218 0.056001 0.133817 0.987990
64 0.788179 2.041246 1.040722 -0.053920 0.056534 0.134139 0.987878
65 0.788241 2.039116 1.040494 -0.054623 0.057066 0.134462 0.987765
66 0.788305 2.036986 1.040268 -0.055326 0.057598 0.134784 0.987651
67 0.788370 2.034855 1.040046 -0.056028 0.058130 0.135106 0.987536
68 0.788436 2.032724 1.039827 -0.056731 0.058662 0.135428 0.987421
69 0.788504 2.030593 1.039611 -0.057433 0.059194 0.135749 0.987304
70 0.788572 2.028462 1.039398 -0.058136 0.059726 0.136071 0.987187
71 0.788643 2.026330 1.039188 -0.058838 0.060258 0.136392 0.987068
72 0.788714 2.024198 1.038982 -0.059540 0.060790 0.136714 0.986949
73 0.788787 2.022066 1.038778 -0.060242 0.061322 0.137035 0.986829
74 0.788860 2.019933 1.038578 -0.060945 0.061853 0.137356 0.986708
75 0.788936 2.017800 1.038381 -0.061647 0.062385 0.137677 0.986586
76 0.789012 2.015667 1.038187 -0.062349 0.062917 0.137998 0.986464
77 0.789090 2.013534 1.037996 -0.063051 0.063448 0.138319 0.986340
78 0.789169 2.011400 1.037808 -0.063753 0.063980 0.138640 0.986216
79 0.789250 2.009267 1.037624 -0.064455 0.064511 0.138960 0.986090
